Course ID,Course Title,Price,Number of Subscribers,Number of Reviews,Number of Lectures,Content Duration
1088102,The Psychology of Trading,20,95,3,20,1
1170626,Start Trading Stocks Using Technical Analysis! Part 2,95,94,11,25,2
380206,Stock Trading Essentials for Day Traders,100,94,15,9,1
929146,Learn Stock Options: Options Made Simple 101,35,93,13,49,5
412108,Trading Intradiario basado en Precio y Volumen,40,92,15,19,1.5
615204,Professional Bookkeeping & Accounting 2 - Bank Daybook,35,91,6,36,2
581598,Commodity Futures Day Trading Strategies,95,91,5,28,5
116924,Gana en la Bolsa con Análisis Técnico,25,91,11,35,8.5
863998,株式投資で本当のファンダメンタル分析ができるようになる,20,91,7,30,2
1051430,Intermediate Accounting 1: Easy. Fast. Simple!,200,90,12,35,2.5
974954,Numeracy skills in business and everyday life:Think and Deal,20,90,4,15,0.633333333
742142,Learn the Forex Naked Price Action Pogo Trade,60,89,4,10,1
1167536,Learn to Trade Forex - from Beginner to Professional,195,89,7,64,12.5
900472,How To Earn Some Bitcoin Every Time You Use A Search Engine,20,89,23,10,1
73860,Financial Risk Manager (FRM) Certification: Level I,50,87,25,113,24
562668,Financial Accounting Made Easy for All,20,87,22,86,4
971110,The Truths about (in)secure Retirement,200,86,6,32,4.5
65802,Financial Risk Manager (FRM) Certification: Level II,50,86,7,87,47
273448,Learn How to Profit In Forex With Market Rhythms,20,85,5,17,1.5
94532,Beginner Financial Analysis: Invest Like Warren Buffett,50,83,4,19,0.683333333
541824,FX Commodity Chart Trading Patterns for Success,50,83,10,15,2.5
774570,Professional Bookkeeping & Accounting 4:Trial Balance & More,35,83,8,21,1
729128,Professional Bookkeeping and Accounting 3: Double Entry,35,81,8,33,1
360916,Hot Trading Investing Strategy: ETF and Futures,50,80,10,13,2.5
927442,Learn the Foundations of Stocks and Options,50,80,18,63,7.5
528104,Stock Trading Strategies: Profitable Trading in 7 Days.,50,80,10,27,5.5
248338,Introduction to Day Trading,50,79,5,36,1
501502,Learn Financial Accounting Different,20,79,1,58,6
168358,Basel II,50,78,6,57,3.5
700080,Budgeting for Business,40,78,22,25,2.5
19653,Accounting Skills for Managers,20,78,3,10,1.5
1174084,Formação de preços em serviços,35,77,5,28,2
865630,Aprenda Cálculo Financeiro de Forma Simples,20,76,14,21,2
815672,Finanzas Personales para Vivir Libre de Deudas,75,76,13,77,6
931588,Learn to trade Chart Patterns,20,75,8,23,2
812798,Value Investing and Stock Market Fundamentals,195,74,8,17,3
941310,Matemática Financeira com HP12C e MS Excel,20,74,17,30,4.5
43778,"Buying, Selling, and Storing Precious Metal",20,74,1,14,1
753610,Trading mit kleinen Konten - Grundlagen die du kennen musst,80,74,4,20,3.5
322118,IFRS Financial Reporting,55,72,9,15,3.5
709816,Socorro! Preciso Organizar as Minhas Finanças!,20,72,17,37,1.5
255046,Investments and Financial Markets,40,71,3,19,1.5
74028,"CFA Level I Workshop 6: Alternatives, PM and Economics",20,71,1,5,1
73962,CFA Level I Workshop 3: Financial Reporting & Analysis II,20,71,1,5,1
193916,How to be A High Performance Insurance Broker Part 2,40,70,3,15,2
1101382,Binary Options Masterclass,200,70,11,16,2
64173,Trading: How Transformative Learning Drives Expertise,30,69,2,16,1
869716,株式投資で本当のテクニカル分析ができるようになる,20,68,10,45,2.5
509512,Forex For Beginners - A Guide To Currency Trading,20,68,10,23,0.5
1046940,Trade RSI Breakout Strategy: Great Risk/Reward Ratio (Forex),200,66,12,19,2
469848,Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,30,66,16,11,1
499504,Disminuye deudas en tu hogar en menos de 30 días,20,65,3,15,1.5
538560,Stocks For Beginners - A Guide To Investing,20,64,15,14,1
1189592,Learn How To Successfully Trade Forex: In 5 Simple Steps,95,64,7,44,8.5
1178820,Aprenda a Investir no Tesouro Direto Passo a Passo,35,62,10,19,1
1078520,"Internal Controls - Design, Implementation and Monitoring",195,62,6,27,6.5
1233350,Bitcoin Profits for Beginners,100,61,18,30,1.5
302456,Bookkeeping Made Simple,40,61,16,22,2.5
537748,What is Bitcoin,20,61,3,27,5
427040,Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben,20,59,11,7,1.5
1225564,Short Straddles - Exploit Earnings Option Volatility Crush,60,59,8,7,0.583333333
572992,Investing: How to Fix Hidden Flaws Inside Your Portfolio,195,58,8,14,1
858764,株式投資に向く性格に変えるための心理学を学ぶ,20,58,11,28,1.5
867440,"Bitcoin: el futuro del dinero, hoy",200,57,22,19,3
1151398,Trading Forex - Trader avec les figures harmoniques,90,57,11,23,2
1041522,Forex Trading :RSI Indicator-A Secret Weapon,95,57,13,14,1.5
619786,Profit During Crashing Markets: A Step-by-Step Guide,195,57,11,18,1
1209556,Hedge Fund Trading Systems Part Two - Stocks & ETFs,200,56,10,23,2.5
407658,Read financial statements as a stock investor,20,56,8,18,2
65110,Professional Risk Manager (PRM) Certification: Level 3,50,55,5,22,12.5
788756,Professional Forex Strategy+2 weeks for FREE trading alerts,95,55,9,15,1
725658,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,75,55,2,27,5.5
1224262,Introduction to Futures Trading and Live Trade Demonstration,60,54,4,6,0.716666667
843536,Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,120,54,11,12,0.6
894336,Master The Psychology of Forex & Binary Options Trading,20,53,16,7,1
986272,Hedge Fund Trading Systems For Stocks - Part One,200,52,8,21,1.5
1225674,The Advantages of ETF Options and Index Options Trading,60,52,3,9,1
1225686,Learn Options on Futures for Hedging Options and Stocks,60,51,2,6,0.7
1107954,"Day trading strategy for all level, with 72% success rate",95,51,9,15,0.533333333
425126,Year-end QuickBooks Procedures,20,51,2,10,2
917172,Forex - Trade Gartley with Precision - Complete Strategy,20,50,1,23,1.5
714188,"Fixed Income Valuation and Analysis, CFA L2",20,50,6,12,3
364034,Finanzas y Análisis Financiero: Manejo Seguro de Negocios,20,50,18,13,1.5
548764,ACCA FA1 Recording Financial Transactions,50,49,8,27,3.5
475912,Master The Stock Market with practice,35,49,10,42,2
302468,How to read a Profit & Loss Account and Balance Sheet,20,49,10,13,2
1172370,Mit Finanzwissen zu besserem Unternehmertum,50,49,3,23,3
1193056,Trader sur le Forex avec Ichimoku,90,48,12,18,2.5
756520,Exam 1 Review - Managerial Accounting (U of H),30,47,9,22,2
476880,Financial Model Fundamentals-Learn the Essential Skills,75,47,5,27,2.5
851288,Smart Trading Techniques for Safe & Consistent Weekly Result,100,46,11,24,2.5
575476,Forex trading made simple,100,45,4,31,1.5
777276,Financial Accounting Part I - Passing the Class,20,45,10,47,4.5
1107904,Financial Reporting A Comprehensive Study,50,45,1,72,8
332690,Introduction to Trade Theory (Technical Analysis) For Stocks,20,45,4,6,1
315716,15 Mandamientos para ganar dinero en Bolsa,20,45,2,49,8.5
460652,Financial and Business Simulation with Microsoft Excel,20,44,5,8,0.516666667
410196,DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise,20,44,3,8,1
994666,Intro to Impact Investing,200,44,4,12,0.533333333
822926,Curso de Trading práctico basado en casos reales,20,44,6,55,10
28172,Practical Trading on Financial Futures & Options Markets,50,43,0,25,4
25794,How To Crowdfund,30,43,6,17,1.5
806122,Learn and Master the Basics of Finance,20,43,17,39,3
953490,TopTrader Academy - Complete Options Course,150,42,1,11,3
417088,Do Your Own Accounts,35,42,2,13,1.5
773060,Forex: Economic News Trading,25,42,14,11,0.683333333
65105,Professional Risk Manager (PRM) Certification: Level 2,50,41,1,55,7.5
829182,【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本,30,41,3,37,3
54246,3 documentos clave para administrar tu empresa con éxito,45,40,6,18,1
1113442,Beginners Chart Patterns Trading for Penny Stocks,200,40,7,26,1.5
479496,Basic Technical Analysis,50,40,1,27,2.5
824034,Technical Analysis: Understanding Price Action,45,39,6,37,3
1095700,Using Xero for your bookkeeping needs do beautiful business,95,39,6,28,1
895030,Forex - Price action Reversal Strategy,20,38,6,16,1
754524,Fundraising Success: The Art & Science of Major Gifts,50,38,9,25,2.5
65113,Professional Risk Manager (PRM) Certification: Level 4,50,38,7,17,8
1031696,Introduction to Accounting - Analyzing Financial Statements,60,37,15,12,1
607362,Accounting 101-Master Class for Understanding Business,20,37,2,43,2.5
370440,Bitcoin For Beginners,50,37,3,22,4
570996,Finance Fundamentals for Non Finance Leaders,20,37,7,15,1
944594,Strategy layout and Backtesting,200,36,2,24,4
745832,Succeed at Options Even If You Don't Know Where to Start,200,36,1,12,1.5
231256,FOREX Currency Trading For Beginners,25,35,2,28,4
637452,Complete Guide to Business Loans,30,35,4,35,1.5
871682,Aprenda  a Investir,20,34,4,9,8
1029062,Forex Trading System: Correlation EUR/GBP vs GBP/USD,50,33,4,26,1
691180,An Abundance Mindset: How to Craft Yours,50,33,4,40,4.5
158444,Breakout Patterns Workshop by Pattern Trader,60,32,6,15,1.5
75182,Trade Show Samurai,95,32,7,7,0.516666667
1174086,Precificação - Calculando valor de venda baseado nos custos,35,32,3,46,3
685190,Crowdfunding for Filmmakers,65,32,6,30,4
115752,Straight From Business School: Create Financial Statements,20,31,2,5,1
999262,Forex online live trading system (Special Offer),200,31,8,34,5.5
644020,Curso de Iniciación al Trading,85,31,5,40,10.5
868128,Análise de Concessão de Crédito,20,31,11,20,10.5
441016,Filing with Companies House UK,30,30,5,9,1
304426,Bank Reconciliation & VAT on Excel,20,30,5,19,1.5
581662,Stock Trading with this Strategy,50,30,3,6,1
24815,Harnessing the Power of Growth Stocks,50,29,2,7,2
79364,Your Business by the Numbers,25,29,2,42,3
607800,Introduction To The World Of Equity Finance,20,29,9,32,2
960786,バイナリーオプション取引,85,29,3,24,0.65
464002,Optimize! Make Best Decisions with Microsoft Excel,20,28,3,14,1
55136,Precious Metal Equities,20,28,1,8,1
328842,Learn to invest in the Stock Market,40,28,5,14,1
371828,Manual Bookkeeping,20,28,2,26,2.5
907716,International Tax - Tax Beyond boundaries,100,27,6,235,19.5
537286,Learn the Basics of the Wave Principle:,30,27,4,10,1.5
376712,Finanzas personales: Logrando la Libertad Financiera,30,27,5,12,2
492344,Cómo Crear Políticas Contables bajo NIIF para PYMES,20,27,5,6,1
993160,Get Credit for Your EIN That's Not Linked to Your SSN,20,27,4,15,1.5
304420,Breakeven Analysis and Pricing,20,27,2,10,1
740764,Introduction to Health Financing,85,26,1,17,2
295909,Legal Accounting,110,26,6,49,4
530430,Fundraising 101,95,26,4,5,1
739972,Accounting Cycle: Learn the concepts in 60 minutes,20,26,3,14,1
501996,Aprende a invertir practicando,35,26,9,42,2
95176,ChalkTalk: Financial Accounting,20,25,1,108,3.5
559328,Cómo usar Metatrader 4 para hacer trading?,20,25,1,25,6
786984,Торговля дельта-нейтральными стренглами,150,23,6,25,1.5
690546,UK Self Assessment Tax Return Filing Online,20,23,7,6,0.466666667
257996,Bookkeeping made simple,30,23,1,19,1
1220862,"The True ' Secret Sauce For Stock Market Success""",200,23,2,30,3
833770,Practical Financial Statement Analysis,75,22,5,45,4.5
1273896,Covered Calls - Powerful Income Strategy for Stock Traders,60,22,0,8,1
1206414,Excelを使ってビジネスシミュレーション：基礎編,85,22,5,47,5
1138162,Le basi del Trading,200,22,5,18,3.5
532216,Raising Capital for Your Business,50,22,5,60,2.5
660846,Five steps to becoming a winner in stock investing,20,21,1,28,3
385604,Introduction to Financial Consolidation under IFRS,25,21,3,8,1.5
1149564,The Forex Pivot Points Trading Strategy,20,21,2,12,2
721746,Forex Trading Plan,50,21,3,24,0.7
1169188,Energiespar-Formel // Mehr Geld durch Wasser sparen Zuhause,50,21,2,54,1.5
304414,Bookkeeping Systems,20,20,1,9,1
769340,Торговля опционами: Как заработать на волатильности,150,20,5,29,2
1069866,High-Frequency Trading & Dark Pools,40,19,11,22,2
516168,Budget preparation for an EU project proposal,50,18,4,5,1
882276,Forex - Top Equity Management Strategy,20,18,4,13,0.583333333
1180960,Estruturação Financeira,45,18,3,18,3.5
1089610,3 Little Pigs: A Multiple Timeframe Forex Trading Strategy,20,18,0,6,1.5
282044,Introduction to the 8 Pillars for Accountants,20,18,0,33,0.616666667
829206,Financial Accounting Plus Excel and SAP Crash Course.,20,18,2,11,1
1032234,Mastering the Market : (Technical Analysis + Candlestick),90,18,7,97,7
736836,The Investment Banking Recruitment Series,40,17,6,26,3.5
517466,Day Trading: High ROI Day Trading,150,17,2,51,6.5
968056,What You Should Know to Become a Trader,125,17,2,14,1.5
429080,Understanding Financial Derivatives,20,16,1,11,2
1275790,Advanced Butterfly Spreads for Options Income Strategies,60,16,1,8,1
1021760,MQL5 - Beginner To Expert,45,16,1,16,1.5
304422,Flow Management and Forecasting,20,16,2,10,1
1132162,Investimento em Ações,20,16,4,27,4.5
118836,FX Trading for Beginners,20,16,0,22,1.5
645890,Aprende desde cero a operar el mercado de divisas FOREX,90,16,4,24,4
557436,ACCA MA1 Management Information,50,16,1,48,3.5
1268616,Condor Broken Wing Butterfly Options Trading Course System,0,16,0,15,1.5
46933,Business Accounts For Managers,30,16,0,23,3
773502,Financial Accounting Part 2 - Passing The Class,20,15,4,36,4.5
872204,"Excel 4 Accounting & Bookkeeping - Master Date,Time & Text",35,15,1,12,1
997128,Estrategias de trading en bolsa,25,15,2,14,2
1253868,Complete Short Financial Ratio Course for Financial Analysis,200,15,1,56,3
702800,Forex: Presentation and Analysis (Fundamental & Technical),50,14,3,22,1.5
1210062,Wie funktionieren Bitcoin? Ein Einführungskurs.,20,14,4,14,0.616666667
1103590,Trading con retrocesos de Fibonacci,25,14,4,15,2.5
996542,Mastering Countertrend Trading : High Profit Trading Pattern,40,14,5,11,1
944534,Forex:Trade Management & Psychology,150,13,0,19,2
302450,10 Numbers Every Business Owner Should Know,20,13,1,9,1
722274,The Complete Investing Guide: How to Beat Wall Street,50,13,3,25,5.5
1013838,Price Action Gap Trading Strategies,20,13,2,5,1
1048496,"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports",50,13,1,9,2
731150,How To Pay Less Tax (UK version),50,13,2,98,0.516666667
1124276,Le bitcoin et la blockchain,80,13,3,12,0.733333333
818572,Financial Modelling in Excel Step by Step,20,13,2,17,1.5
613944,How to trade options,45,12,1,9,0.716666667
1201912,high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس,100,12,4,17,2.5
429308,Read financial statements like a pro,50,12,1,38,4
113712,International Trade and New Geographic Economy,20,12,1,6,0.533333333
56926,School of Raising Capital: Agile Financial Modeling,20,12,1,11,1.5
597424,Sell like a Pro: Insider Secrets of Successful Selling!,115,12,1,25,2.5
876898,Forex - Help I cant Trade,200,12,0,20,2
673702,Como hacer empresa en 10 sesiones prácticas,20,11,2,10,0.5
1153876,"Term Loan Appraisal for bankers, credit analysts",20,11,2,28,6.5
505144,Eu Funding: Module 2 - Introduction to Horizon 2020,20,11,1,6,1
619792,Start Now: A Rescue Plan for Retirement Late Savers,150,11,1,15,0.65
1141708,Managerial Accounting - The Ultimate Beginner Course!,100,11,0,121,11
914164,Forex Basics: Learn how to read and analyze Forex charts,195,11,0,45,4.5
390510,Tax made simple for Limited Company Owners and Contractors,50,11,0,57,3
877968,Start-up financial modeling for non-finance professionals,20,11,0,19,4
35409,Profits Turbo,20,10,0,7,5.5
146454,2. Principles of Simple Interest - advanced problems,20,10,1,12,1.5
43291,La costruzione del budget di una proposta comunitaria,50,10,1,5,1
1013190,Analysis and Evaluation of Economic Feasibility of Projects,100,10,1,8,1
877106,"Forex trading tactics, that work!",20,10,1,5,0.6
1036456,Basics of Private Equity,60,9,2,6,0.666666667
101038,Bitesize Bookkeeping for busy people,20,9,0,13,1.5
1136912,Financial Accounting - The Ultimate Beginner Course,100,9,2,101,10
1263966,Advanced Technical Analysis PART1!,100,9,1,19,3
805630,Forex/Opciones Binarias para Principiantes,25,9,5,9,2
953432,Easy Finance For Startups,50,9,4,6,0.666666667
821108,المحاسبة للإداريين و غير المحاسبين,20,9,3,17,0.716666667
811534,The Visual Learning Basic Accounting Course,20,9,0,6,1
737182,Estrategias de Inversión aplicadas al mundo del trading,20,9,2,25,3
93850,Financial Modeling - Facebook Case Study,25,9,3,13,1.5
1250742,Complete GST Course For Small and Medium Enterprises,75,8,0,45,6
889066,Trading Options Basics,200,8,0,8,1.5
244000,Forex Trading: The High ROI Forex Trading End of Day Course,125,8,1,19,2.5
621014,System of Asset Management for Professionals (SAMP),50,8,1,8,1
673750,How to invest in Forex Trading & add an additional income,50,8,2,14,2
1110256,QuickBooks Online : Inventory Management For Non-Finance,35,8,4,10,0.666666667
1178150,"Double Your Salary With Free, Local, Job Training Courses",20,8,1,8,1
597084,Don't Let Your Customers Run Your Business,50,7,3,28,2.5
880564,The 7 fundamentals to Successful Cashflow Management,25,7,0,12,1
1027678,"Depreciation, Amortization and Depletion",25,7,1,13,1
429482,Fundraise the Simplified Way: A Crowdfunding Blueprint,35,7,1,19,1
1179546,An Introduction to Financial Markets on Wall Street,30,7,1,29,2
671548,Accounting Basics 101 for Understanding Business,20,7,2,18,1
1073430,Xero Bookkeeping Course & Certification by Accounting Firm,20,7,3,15,2
1257502,The Complete Litecoin Crypto Currency Bootcamp,20,7,3,24,1
811416,Learn Financial Modeling from Scratch - Part1,50,7,4,29,3.5
1196700,Le basi del trading online,45,7,1,27,3.5
1156530,How to trade in the Forex market,200,6,0,39,2.5
734280,Aprende a llevar la contabilidad de forma informatizada,25,6,1,27,4.5
250902,Nest Egg Investing,45,6,0,12,2
560472,Trading Tips from Hedge Fund Manager,50,6,2,32,1
531710,Accounting and the Triple Bottom Line,30,6,2,19,0.55
302484,A Practical Guide to Wealth Creation,35,6,0,7,1
849632,Write a Successful Business Grant Proposal,20,6,0,23,2.5
657050,Caza los Enormes Movimientos del Mercado,20,6,2,13,1.5
1106148,Series 7: Intermediate Options,55,5,0,11,1
682986,Effective Debt Collection Strategies,40,5,2,16,1.5
1237912,Create Trading Robot Without Coding Skills!,145,5,0,13,1
589778,How to Read Financial Statements,20,5,2,59,2
614668,8 Steps To Achieve Financial Freedom And Escape Debt,40,5,0,48,5.5
707224,Financial Statement Review 101: How to Find Errors,30,5,2,15,2
1078254,Tally ERP Complete Training in Urdu / Hindi,30,5,2,51,5
1029322,Accounting and Business Basics,200,5,0,10,2
1264512,Trading Forex - L'analyse des volumes,70,4,3,13,2
1239206,Win 90% of Trades; Quantitative Investments Models in Excel,200,4,1,16,1.5
625670,Technical Charting,20,4,1,6,1
1153854,"Working Capital assessment for bankers, credit analysts",20,4,0,29,7
1058530,"How to Get Growing, Passive Income from the Fortune 500!",25,4,0,12,1
994118,Managing Budgets in the Public and Non Profit Sector,95,4,0,20,2
904240,A Guide To Trade Binary Options Like An Expert,55,4,0,21,1
1246684,Dash Crypto Currency Technical and Trading Overview Bootcamp,20,4,1,14,1
1000136,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",20,4,0,14,3.5
1227792,Contabilità Generale,200,4,1,40,8.5
868112,Chief Wealth Officer,45,4,0,7,1
954842,Black Scholes Option Pricing Model,25,3,0,10,1
309854,How to invest in Russian equity market,30,3,0,12,1.5
1240408,Forex Trading for Beginners Vol 1:A Forex Course Made Simple,175,3,0,27,1
513046,Learn The ABC's Of Investing And Understanding True Financial Value,20,3,0,8,1.5
304410,Credit Control Procedures,20,3,0,6,0.566666667
1193288,Accounting Simplified,30,3,0,41,8.5
1230950,The Fast Route to a Faster Financial Close,50,2,0,8,1.5
1010988,Economics for beginners - Various Concepts,25,2,0,34,2.5
855816,Investing in Stocks & Shares,20,2,0,24,2
1117834,Learn How To Trade Gold In 2017,200,2,1,16,1
861764,"Geometry Of Chance strategy of defeating the roulette.""",30,2,1,10,1.5
580068,Handle difficult questions the bank manager will ask you,20,2,0,12,1
1162656,Introduction to Bitcoin for Beginners,20,2,1,7,0.566666667
1072220,Reach Your Personal Financial Goals the Easy Way (2017 UK),95,2,0,59,4.5
813360,Learn Financial Modeling from Scratch - Part 2,50,2,1,27,3.5
813516,Learn Financial Modeling from Scratch - Part 3,50,2,0,22,2
313512,Financial Reporting - Fundamentals/Basics,20,2,0,28,2.5
359926,UK Tax Returns with HMRC,40,2,0,11,1
1056242,Practical Accounts Training A,35,2,0,127,31.5
1208148,Coaching Course:Investment Analysis for your clients,200,1,0,6,0.566666667
1082352,Trading Basics in 30 minutes,50,1,0,6,0.533333333
1163242,Profit and Loss Account for bankers and credit analysts,20,1,0,31,7.5
1249164,Corporate Internal Controls and Fraud Controls,50,1,0,12,2
1276364,Bitcoin & Ethereum Course (2 Course Bundle),200,1,0,52,2.5
1233894,The Latest Updates 2016 Financial Accounting Standards Board,50,1,0,9,2
782256,FMT: Forex Market Trader Certificate,20,1,0,27,2
826912,Six Stage Negotiation,30,1,0,21,2.5
591724,Financial Market Environment & Investment Strategies,105,1,0,25,1.5
533458,How to Obtain a Business Loan,20,1,1,12,0.566666667
1164568,Psicología del trading,20,1,1,6,0.6
1034560,"Erfolgreich als Signalgeber/in, per Social- und Copytrading",60,1,1,33,6
1113702,"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",20,1,0,13,3
1097288,Bookkeeping Practicals with Software,35,1,0,130,31.5
759262,Decide whether to Invest in a Business,20,1,0,43,1
1165780,Ratio analysis for bankers and credit analysts,20,1,0,13,3
1232382,Intro to Financial Statement Audits,50,1,0,9,1.5
1221942,Basic Bookkeeping,35,0,0,12,0.733333333
1276182,Options Trading Foundation: Your journey to competency...,95,0,0,5,1
1232312,Core Financial Statement Concepts,50,0,0,9,1.5
1084454,CFA Level 2- Quantitative Methods,40,0,0,35,5.5
1169196,"Credit concepts and checklist for bankers, credit analyst",20,0,0,10,2.5
1249146,Planning and Executing a Financial Statement Audit,50,0,0,9,2
1251582,Best Practices in Corporate Budgeting,50,0,0,9,2
1233302,Ratio Analysis for Financial Statements,50,0,0,6,2
837322,Essentials of money value: Get a financial Life !,20,0,0,20,0.616666667
1187084,Forex how traders beat the markest with little experience,100,0,0,16,1
1032648,beginning accounting,20,0,0,12,0.633333333
1271182,Practical Film Financing: Finding & Pitching Investors,100,0,0,9,1
1058852,Learn to trade using technical analysis,50,0,0,6,0.533333333
1233314,Building a Balanced Scorecard,50,0,0,11,2
1087466,Stop Creditors from Harassing you and Avoid Bankruptcy,20,0,0,7,0.616666667
1215926,Kickstarter success in 5 easy steps,20,0,0,12,0.516666667
1035638,Understanding Financial Statements,25,0,0,10,1
975910,How to achieve personal transformation,20,0,0,10,0.533333333
1136038,Free Ways to Create Passive Income Online,25,0,0,27,1
1232390,Corporate Ethics,100,0,0,13,3.5
1251654,Understand Core Finance Principles in 60 Minutes,75,0,0,13,2.5
1064904,Evolution and Features of ETFs,100,0,0,10,0.716666667
1083744,How to Invest Using ETFs from Former Wall Street Trader,200,0,0,10,2
1271430,Workshop on Banking Credit Analysis Process,100,0,0,7,1.5
715476,The Cuckoo Strategy to get European Funding,160,0,0,6,1
1219820,Accounting - The 6 most important rules you must learn,20,0,0,9,1
627332,Mutual Funds for Investors in Retirement Accounts,20,0,0,0,0
1157298,Introduction to Forex Trading Business For Beginners,20,0,0,27,1.5
1282064,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,20,0,0,7,2.5
1247992,Introduction to Project Management for Finance and Acct'g,50,0,0,9,2
1168172,Case studies on credit appraisal for bankers,20,0,0,15,3.5
885413,Foundations of Investing,40,0,0,18,2
1231958,60 Minutes to Fundamental Accounting Skills,75,0,0,9,2.5
1057040,Teeter-Totter Accounting,90,0,0,12,1
1258666,Financial Statement Auditing Cycles,50,0,0,9,2
1232282,The Cash Flow Statement - An Introduction,50,0,0,10,1.5
348116,Photoshop In-Depth: Master all of Photoshop's Tools Easily,0,53851,1779,45,4.5
17349,Figure Drawing From Life Using The Reilly Technique.,0,47811,1041,22,2.5
399938,Professional Logo Design in Adobe Illustrator,0,44044,1563,45,7.5
820194,Photoshop for Entrepreneurs - Design 11 Practical Projects,200,36288,737,63,5
249126,Logo Design Essentials,20,33205,481,12,0.7
874012,The Ultimate Drawing Course - Beginner to Advanced,150,26742,2379,62,11
385462,Logo Designing for Your Business in an Hour,20,25277,311,16,1
178044,How To Make Graphics For A Website,200,24857,35,11,1.5
22445,Learn to Design a Letterhead - A Beginners Course,0,24687,423,13,0.733333333
660876,Graphic Design - An Overview of the Field,0,23229,2215,12,1
897238,Canva Graphics Design for Entrepreneurs - Design 11 Projects,200,18303,202,54,3.5
62721,Anatomy for Figure Drawing: Mastering the Human Figure,95,15500,754,65,68.5
749542,Graphic Design Bootcamp,200,15276,1740,65,8
573064,Photoshop in Ease: Create World Amazing  Graphic Designs,20,14440,182,26,3
1120554,Canva Graphics Design Essential Training For Everyone,200,12340,124,46,2.5
611370,"Quote Images for Pinterest, Facebook, & Instagram",0,12103,576,18,1
47004,Photoshop Course: Design an eBook Cover in Photoshop,50,11893,69,40,3
20461,How to Design a Logo - a Beginners Course,30,10875,650,41,2.5
364986,Apple Watch Design,20,9847,24,35,4
693812,Master App Icon Design for iPhone (IOS) & Android Devices,25,9464,329,43,2
1145736,Create Professional Looking Infographics With No Experience,180,9367,104,21,2
28556,Discover How to Draw and paint Comics,65,8901,424,85,62
627782,Learn Illustrator By Recreating Top 3 Logos - Beginner Guide,0,8786,245,11,1
416548,Logo Design Masterclass: Learn Logo Design + Illustrator,200,8196,479,85,6.5
371074,Sketch 3 from A to Z: Become an App Designer,75,7282,1629,42,3.5
520468,Canva : Graphic Design Theory Volume1,200,6975,122,29,2.5
1094930,DIY Design Professional Web Banners in Photoshop 4 Beginners,200,6944,30,24,1
396204,Graphic Design Masterclass: Learn Graphic Design in Projects,95,6858,382,41,3.5
